ID,Orden ID,Fecha_Orden,Fecha_Envío,Modo_Envío,Cliente_ID,Segmento,País,Ciudad,Estado,Codigo_Postal,Region,Producto_ID,Ventas
1,CA-2017-152156,08/11/2017,11/11/2017,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,261.96
2,CA-2017-152156,08/11/2017,11/11/2017,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,731.94
3,CA-2017-138688,12/06/2017,16/06/2017,Second Class,DV-13045,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,14.62
4,US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,957.5775
5,US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,22.368
6,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,48.86
7,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,7.28
8,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,907.152
9,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,18.504
10,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,114.9
11,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,1706.184
12,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,911.424
13,CA-2018-114412,15/04/2018,20/04/2018,Standard Class,AA-10480,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,15.552
14,CA-2017-161389,05/12/2017,10/12/2017,Standard Class,IM-15070,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,407.976
15,US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,68.81
16,US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,2.544
17,CA-2015-105893,11/11/2015,18/11/2015,Standard Class,PK-19075,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,665.88
18,CA-2015-167164,13/05/2015,15/05/2015,Second Class,AG-10270,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,55.5
19,CA-2015-143336,27/08/2015,01/09/2015,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,8.56
20,CA-2015-143336,27/08/2015,01/09/2015,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,213.48
21,CA-2015-143336,27/08/2015,01/09/2015,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,22.72
22,CA-2017-137330,09/12/2017,13/12/2017,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,19.46
23,CA-2017-137330,09/12/2017,13/12/2017,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,60.34
24,US-2018-156909,16/07/2018,18/07/2018,Second Class,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,71.372
25,CA-2016-106320,25/09/2016,30/09/2016,Standard Class,EB-13870,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,1044.63
26,CA-2017-121755,16/01/2017,20/01/2017,Second Class,EH-13945,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,11.648
27,CA-2017-121755,16/01/2017,20/01/2017,Second Class,EH-13945,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,90.57
28,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,3083.43
29,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,9.618
30,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,124.2
31,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,3.264
32,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,86.304
33,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,6.858
34,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,15.76
